group_id,alice,david,emily,jacob,james,john,mike,lucas,mary,sarah
e5f463e4,V0,4.1,A0,,20.0,X6,-1,1.9,2.7,0.0
e5f463e4,V0,4.3,A0,,18.0,X5,-1,1.7,1.5,0.0
e5f463e4,V0,4.4,A0,,20.0,X6,-1,1.7,1.2,0.0
e5f463e4,V0,4.6,A0,,17.0,X4,-1,1.3,0.8,0.0
e5f463e4,V0,4.8,A0,,17.0,X4,-1,1.2,0.4,0.0
e5f463e4,V0,5.2,A0,,18.0,X6,-1,1.1,0.3,0.4
e5f463e4,V0,4.9,A0,,11.0,X7,-1,0.5,0.8,0.0
e5f463e4,V0,5.0,A0,,11.0,X7,-1,0.4,0.5,0.0
e5f463e4,V0,4.9,A0,,12.0,X6,-1,0.3,0.5,0.0
b7435019,V0,4.4,A0,,23.0,X4,4,2.1,1.0,0.0
b7435019,V0,4.7,A0,,23.0,X2,2,2.0,0.8,0.0
b7435019,V0,4.7,A0,,22.0,X2,1,1.8,1.4,0.0
b7435019,V0,5.0,A0,,20.0,X1,0,1.5,0.2,0.0
b7435019,V0,5.0,A0,,21.0,X6,0,1.5,1.7,0.0
b7435019,V0,4.9,A0,,12.0,X7,7,0.7,5.1,0.0
b7435019,V0,4.6,A0,,11.0,X7,17,0.5,3.7,0.0
b7435019,V0,4.6,,,11.0,X7,20,0.4,2.3,0.0
b7435019,V0,4.6,,,6.0,X7,21,-0.1,1.2,0.0
23943913,V7,4.5,,,9.0,X2,20,1.2,2.6,0.1
23943913,V2,4.7,,,9.0,X2,20,1.1,1.9,0.0
23943913,V2,4.8,,,8.0,X2,21,0.9,1.1,0.0
23943913,V2,4.7,,,9.0,X3,21,0.8,0.9,0.0
23943913,V2,4.8,,,9.0,X3,21,0.7,0.6,0.0
23943913,V2,4.8,,,9.0,X2,20,0.5,1.2,0.0
23943913,V2,4.7,A0,,11.0,X2,15,0.5,2.2,0.0
23943913,V12,4.8,A0,,13.0,X1,10,0.5,0.6,0.5
23943913,V2,4.9,A0,,12.0,X7,13,0.3,2.2,0.0
4dfd230d,V1,3.9,A0,,29.0,X4,4,2.5,1.7,0.0
4dfd230d,V2,4.2,A0,,28.0,X4,2,2.3,1.0,0.0
4dfd230d,V2,4.0,A0,,27.0,X6,2,2.1,1.5,0.0
4dfd230d,V3,4.4,A0,,26.0,X5,2,1.9,1.2,0.0
4dfd230d,V3,5.0,A0,,22.0,X5,3,1.5,1.2,0.0
4dfd230d,V1,4.8,A0,,22.0,X6,4,1.4,1.7,0.0
4dfd230d,V2,4.6,A0,,23.0,X7,4,1.3,2.2,0.0
4dfd230d,V2,4.2,A0,,22.0,X6,4,1.1,1.0,0.0
4dfd230d,V2,4.8,A0,,18.0,X4,3,0.7,0.5,0.0
e87be0ba,V4,5.3,A1,,28.0,X2,5,2.5,0.6,
e87be0ba,V4,5.3,A2,,29.0,X3,5,2.5,0.3,
e87be0ba,V6,5.3,A1,,28.0,X1,6,2.3,0.2,
e87be0ba,V6,5.2,A1,,29.0,X4,5,2.2,0.3,
e87be0ba,V6,5.3,A1,,28.0,X1,4,2.0,1.4,
e87be0ba,V6,5.3,A1,,28.0,X2,3,1.9,1.8,
e87be0ba,V9,5.2,A1,,28.0,X2,4,1.7,1.4,
e87be0ba,V9,5.2,A1,,28.0,X4,5,1.6,1.2,
e87be0ba,V4,5.3,A1,,27.0,X3,7,1.4,1.4,
e87be0ba,V6,5.3,A1,,27.0,X3,9,1.3,1.2,
